Analysis,Sphericity,W,chi2,dof,p_value
2IFC d_a,True,0.9010012631281057,1.4594806723951368,2,0.4820341406588283
YN d_a,True,0.9352717986765177,0.9368533743103009,2,0.6259863663234982
YN/2IFC d_a ratio,True,0.9165982003248192,1.2192049846739117,2,0.5435668981424391
2IFC meta-d_a,False,0.4687976623518079,10.606176380557635,2,0.004976202692861955
YN meta-d_a,True,0.8632495503395068,2.0587204904660847,2,0.35723543054859547
HR,True,0.9221184923626968,1.1351416582903742,2,0.5669008665111057
FAR,True,0.7710205830108674,3.640562929682048,2,0.16198015279908928
2IFC staircase contrast,True,0.7209251326339505,4.581079794505604,2,0.10121180312570377
