Task,Condition,mean,std,count
2IFC,SC,1.7139375000000001,0.2733348297723264,16
2IFC,CC,1.7316875,0.251777605239227,16
2IFC,CI,1.7003125,0.28312110924478945,16
YN,SC,1.2059375,0.752832028077977,16
YN,CC,1.3179375,0.5894032540064005,16
YN,CI,0.84425,0.7779327734451095,16
