Condition,slope,d1,da,meta_d,meta_da,meta_da_yes,meta_da_no,M_ratio (da)
SC,2.733,0.514,1.514,0.185,0.246,-0.435,0.143,0.162
CC,1.507,0.865,1.244,0.365,0.43,0.612,0.603,0.345
CI,1.0,0.234,0.234,0.148,0.148,-0.086,0.049,0.632
