Condition,s (type1 zROC),d1 (EV),da,meta_d,meta_da,M_ratio (meta_d/d1),M_ratio (meta_da/da)
SC,1.661,1.672,1.734,1.358,1.645,0.812,0.948
CC,1.927,1.58,1.614,1.436,1.803,0.909,1.118
CI,1.952,1.87,1.74,0.924,1.163,0.494,0.668
