Condition,slope,M_ratio_eq,M_ratio_uv,d_eq,da_uv
SC,0.8085682440958515,0.6879499073157023,0.7126527298854259,1.674,1.489
CC,2.0318758184951533,0.7809772055913297,1.0359587969859323,1.884,2.391
CI,1.1015672250664046,0.5896430579150275,0.593990577911214,1.889,1.978
