Condition,T,dof,p_unc,hedges,p_bonf
SC,-0.030029724184968055,15.0,0.9764392626578391,-0.010640693844136332,1.0
CC,0.5786191846432499,15.0,0.5714326708068059,0.20923325754891595,1.0
CI,-1.7470725138471908,15.0,0.10106100781097468,-0.6144774854314835,0.303183023432924
