Source,SS,ddof1,ddof2,MS,F,p_unc,p_GG_corr,ng2,eps
Measure,1.472626041666667,1,15,1.472626041666667,46.308481291306414,5.9417982072344e-06,5.9417982072344e-06,0.42949948853346676,1.0
Condition,0.17348264583333334,2,30,0.08674132291666667,25.536516762622288,3.3394309643500514e-07,5.915564798957437e-07,0.08146410771908057,0.9524609199278037
Measure * Condition,0.11620202083333325,2,30,0.058101010416666626,14.74736689588869,3.464502958051555e-05,7.561096919777571e-05,0.05607451539732703,0.8974050925267701
