Task,Category,mean,std,count,sem
2IFC,SC,80.24439543906956,2.281798801726005,16,0.5704497004315012
2IFC,CC,80.05883731827458,2.932086040868628,16,0.733021510217157
2IFC,CI,79.77852915623528,3.67405759659233,16,0.9185143991480825
YN,SC,65.1539575544107,8.473402278178503,16,2.1183505695446256
YN,CC,64.54257401935548,9.40222006706528,16,2.35055501676632
YN,CI,57.662509936015155,6.762242387994837,16,1.6905605969987092
