Phase,Category,mean,std,count,sem
After 2IFC,SC,64.35307161713759,10.116855330616165,16,2.529213832654041
After 2IFC,CC,66.5591052208881,11.239769384807488,16,2.809942346201872
After 2IFC,CI,67.25082010228954,13.418717569843162,16,3.3546793924607905
After YN,SC,68.38990635969563,10.693668282100813,16,2.673417070525203
After YN,CC,69.28651908522438,12.028210897194198,16,3.0070527242985494
After YN,CI,70.7796186926241,11.416217778139979,16,2.8540544445349947
