Source,SS,ddof1,ddof2,MS,F,p_unc,p_GG_corr,ng2,eps
Phase,282.52485494501565,1,15,282.52485494501565,8.825086617743874,0.009523949909167308,0.009523949909167308,0.023055464212279747,1.0
Category,112.95218799413718,2,30,56.47609399706859,3.0689574801104493,0.06128757633771144,0.06867009628826001,0.009346813796568857,0.8863604642583692
Phase * Category,6.973069992940651,2,30,3.4865349964703256,0.25678565777400725,0.7752168655453164,0.7336967650074419,0.0005821279317291182,0.826355177829508
