Source,SS,DF,MS,F,p_unc,p_GG_corr,ng2,eps,sphericity,W_spher,p_spher
Condition,0.749219791666666,2,0.374609895833333,4.5019404290801095,0.019507494956682157,0.03796113930792896,0.15498273709109786,0.6530815525895307,False,0.4687976623518079,0.004976202692861955
Error,2.4963228749999993,30,0.08321076249999998,,,,,,,,
