Source,SS,DF,MS,F,p_unc,ng2,eps
Condition,0.28679787500000004,2,0.14339893750000002,21.140710604894426,1.8681793772205077e-06,0.16987066330639514,0.92774576139817
Error,0.2034921249999999,30,0.006783070833333331,,,,
