Condition,Measure,mean,std,count
SC,HR,0.368875,0.18646639554264638,16
SC,FAR,0.06356250000000001,0.12816498156672906,16
CC,HR,0.347625,0.17902248462134585,16
CC,FAR,0.059625000000000004,0.10553411770607646,16
CI,HR,0.1953125,0.1631464449505413,16
CI,FAR,0.0455,0.09698384745238077,16
