Condition,slope,d1,da,meta_d,meta_da,meta_da_yes,meta_da_no,M_ratio (da)
SC,3.253,0.686,1.565,0.231,0.313,0.438,-0.059,0.2
CC,1.034,1.013,1.049,0.415,0.422,0.768,0.281,0.402
CI,0.831,0.771,0.608,0.716,0.647,1.035,0.219,1.064
