Condition,s (type1 zROC),d1 (EV),da,meta_d,meta_da,M_ratio (meta_d/d1),M_ratio (meta_da/da)
SC,1.268,1.91,1.914,0.917,1.018,0.48,0.532
CC,0.975,1.516,1.512,0.757,0.747,0.499,0.494
CI,1.687,1.473,1.465,0.946,1.151,0.643,0.786
