Participant,Day,SessionBlock,Trial,Task,Category,FacePresent,Response,Correct,RT,NoResponse,LateResponse,LateResponseRT,LateCorrect,Combined_Correct,Contrast,Replaced,PTC,PTR
00217,1.0,2.0,1,2IFC,SC,,right,True,0.4503049999475479,False,,,,True,0.049999999999999996,,,
,,,1,WM_probe,SC,,1,True,1.3728675001766533,False,,,,True,,1.0,0.0,0.0
00217,1.0,2.0,2,2IFC,CI,,left,True,0.4808705998584628,False,,,,True,0.049999999999999996,,,
,,,2,WM_probe,CI,,4,False,1.4482954000122845,False,,,,False,,3.0,0.0,0.0
00217,1.0,2.0,3,2IFC,SC,,left,True,0.3363854999188334,False,,,,True,0.03971641173621406,,,
,,,3,WM_probe,SC,,2,True,1.2845799000933766,False,,,,True,,2.0,0.0,0.0
00217,1.0,2.0,4,2IFC,SC,,right,False,0.4618426999077201,False,,,,False,0.031547867224009644,,,
,,,4,WM_probe,SC,,3,False,2.0601485001388937,False,,,,False,,4.0,1.0,0.0
00217,1.0,2.0,5,2IFC,CC,,left,True,0.2235556999221444,False,,,,True,0.049999999999999996,,,
,,,5,WM_probe,CC,,4,False,1.7545249001123011,False,,,,False,,3.0,0.0,0.0
00217,1.0,2.0,6,2IFC,CI,,left,False,0.3850434001069516,False,,,,False,0.03971641173621406,,,
,,,6,WM_probe,CI,,2,True,2.062356899958104,False,,,,True,,2.0,0.0,0.0
00217,1.0,2.0,7,2IFC,CI,,left,True,0.21996959997341037,False,,,,True,0.049999999999999996,,,
,,,7,WM_probe,CI,,2,False,2.0719394001644105,False,,,,False,,1.0,0.0,0.0
00217,1.0,2.0,8,2IFC,CI,,right,True,0.340325600001961,False,,,,True,0.049999999999999996,,,
,,,8,WM_probe,CI,,3,True,1.8739550998434424,False,,,,True,,3.0,0.0,0.0
00217,1.0,2.0,9,2IFC,CI,,right,False,0.2076109000481665,False,,,,False,0.049999999999999996,,,
,,,9,WM_probe,CI,,4,False,1.8226793000940233,False,,,,False,,1.0,0.0,0.0
00217,1.0,2.0,10,2IFC,CC,,right,True,0.4881447001826018,False,,,,True,0.03971641173621406,,,
,,,10,WM_probe,CC,,4,True,2.0856540999375284,False,,,,True,,4.0,0.0,0.0
