Condition,s (type1 zROC),d1 (EV),da,meta_d,meta_da,M_ratio (meta_d/d1),M_ratio (meta_da/da)
SC,0.98,1.508,1.505,0.767,0.76,0.509,0.505
CC,0.957,1.59,1.581,0.792,0.775,0.498,0.49
CI,0.736,1.458,1.375,1.001,0.839,0.686,0.61
