Condition,slope,d1,da,meta_d,meta_da,meta_da_yes,meta_da_no,M_ratio (da)
SC,1.6,1.346,1.251,1.083,1.299,1.677,-0.272,1.038
CC,0.951,1.147,1.137,1.001,0.975,0.969,-0.081,0.858
CI,1.146,0.733,0.816,0.764,0.815,0.531,0.155,0.998
