Condition,s (type1 zROC),d1 (EV),da,meta_d,meta_da,M_ratio (meta_d/d1),M_ratio (meta_da/da)
SC,1.111,1.559,1.593,0.893,0.938,0.572,0.589
CC,1.71,1.698,1.823,1.071,1.307,0.631,0.717
CI,1.307,1.465,1.484,0.892,1.002,0.609,0.675
