Condition,slope,d1,da,meta_d,meta_da,meta_da_yes,meta_da_no,M_ratio (da)
SC,0.775,0.955,0.788,0.598,0.518,0.61,0.474,0.657
CC,0.714,1.027,0.816,0.741,0.609,1.143,0.669,0.746
CI,1.259,0.089,0.458,0.056,0.062,-0.112,-0.14,0.134
