Participant,Day,SessionBlock,Trial,Task,Category,FacePresent,Response,Correct,RT,NoResponse,LateResponse,LateResponseRT,LateCorrect,Combined_Correct,Contrast,Replaced,PTC,PTR
,,,31,WM_probe,CI,,3,True,1.2792468999978155,False,,,,True,,3.0,0.0,0.0
00218,1.0,3.0,32,2IFC,CC,,right,True,0.18570440006442368,False,,,,True,0.06294627058970836,,,
,,,32,WM_probe,CC,,4,True,1.7732714999001473,False,,,,True,,4.0,0.0,0.0
00218,1.0,3.0,33,2IFC,SC,,left,True,0.16480949986726046,False,,,,True,0.031547867224009644,,,
,,,33,WM_probe,SC,,3,True,1.0225500999949872,False,,,,True,,3.0,0.0,0.0
00218,1.0,3.0,34,2IFC,CC,,left,True,0.12622680002823472,False,,,,True,0.06294627058970836,,,
,,,34,WM_probe,CC,,1,False,0.49800150003284216,False,,,,False,,3.0,0.0,0.0
00218,1.0,3.0,35,2IFC,CI,,right,True,0.1593029999639839,False,,,,True,0.049999999999999996,,,
,,,35,WM_probe,CI,,2,False,2.004854600178078,False,,,,False,,1.0,0.0,0.0
00218,1.0,3.0,36,2IFC,CI,,right,False,0.20176850003190339,False,,,,False,0.049999999999999996,,,
,,,36,WM_probe,CI,,4,True,2.502263299888,False,,,,True,,4.0,0.0,0.0
00218,1.0,3.0,37,2IFC,CI,,right,True,0.19626130000688136,False,,,,True,0.06294627058970836,,,
,,,37,WM_probe,CI,,2,True,1.25721860001795,False,,,,True,,2.0,0.0,0.0
00218,1.0,3.0,38,2IFC,CC,,right,True,0.48982519982382655,False,,,,True,0.049999999999999996,,,
,,,38,WM_probe,CC,,4,True,1.9025657000020146,False,,,,True,,4.0,0.0,0.0
00218,1.0,3.0,39,2IFC,SC,,left,True,0.24051389982923865,False,,,,True,0.025059361681363596,,,
,,,39,WM_probe,SC,,3,False,1.5571345000062138,False,,,,False,,2.0,1.0,0.0
00218,1.0,3.0,40,2IFC,SC,,left,True,0.21535219997167587,False,,,,True,0.025059361681363596,,,
,,,40,WM_probe,SC,,4,True,1.9755772000644356,False,,,,True,,4.0,0.0,0.0
00218,1.0,3.0,41,2IFC,CI,,right,True,0.1148199001327157,False,,,,True,0.06294627058970836,,,
,,,41,WM_probe,CI,,2,True,1.9432276000734419,False,,,,True,,2.0,0.0,0.0
00218,1.0,3.0,42,2IFC,SC,,left,True,0.5168577001895756,False,,,,True,0.025059361681363596,,,
,,,42,WM_probe,SC,,3,True,1.3363409999292344,False,,,,True,,3.0,0.0,0.0
00218,1.0,3.0,43,2IFC,CC,,left,True,0.2580222999677062,False,,,,True,0.049999999999999996,,,
,,,43,WM_probe,CC,,3,True,1.545226899906993,False,,,,True,,3.0,0.0,0.0
00218,1.0,3.0,44,2IFC,CC,,right,True,0.11642540013417602,False,,,,True,0.049999999999999996,,,
,,,44,WM_probe,CC,,3,False,2.0540318000130355,False,,,,False,,1.0,0.0,0.0
00218,1.0,3.0,45,2IFC,SC,,left,True,0.18437440018169582,False,,,,True,0.019905358527674843,,,
,,,45,WM_probe,SC,,4,False,1.5732927001081407,False,,,,False,,2.0,1.0,0.0
00218,1.0,3.0,46,2IFC,CI,,right,True,0.1251666999887675,False,,,,True,0.06294627058970836,,,
,,,46,WM_probe,CI,,4,False,1.4887037998996675,False,,,,False,,3.0,0.0,0.0
00218,1.0,3.0,47,2IFC,CC,,right,True,0.1502521000802517,False,,,,True,0.03971641173621406,,,
,,,47,WM_probe,CC,,3,True,1.1188223999924958,False,,,,True,,3.0,0.0,0.0
00218,1.0,3.0,48,2IFC,SC,,left,True,0.2067636998835951,False,,,,True,0.019905358527674843,,,
,,,48,WM_probe,SC,,3,False,1.7790212000254542,False,,,,False,,4.0,0.0,1.0
00218,1.0,3.0,49,2IFC,CI,,right,True,0.26801200001500547,False,,,,True,0.049999999999999996,,,
,,,49,WM_probe,CI,,4,True,1.8502163998782635,False,,,,True,,4.0,0.0,0.0
00218,1.0,3.0,50,2IFC,CC,,left,True,0.45532499998807907,False,,,,True,0.03971641173621406,,,
,,,50,WM_probe,CC,,3,False,0.7600595999974757,False,,,,False,,2.0,0.0,0.0
00218,1.0,3.0,51,2IFC,SC,,left,True,0.5200950999278575,False,,,,True,0.019905358527674843,,,
,,,51,WM_probe,SC,,1,False,1.3112680001650006,False,,,,False,,2.0,1.0,0.0
00218,1.0,3.0,52,2IFC,CI,,right,True,0.16566119994968176,False,,,,True,0.049999999999999996,,,
,,,52,WM_probe,CI,,3,True,1.8073243000544608,False,,,,True,,3.0,0.0,0.0
00218,1.0,3.0,53,2IFC,SC,,left,True,0.25663949991576374,False,,,,True,0.01581138830084188,,,
,,,53,WM_probe,SC,,3,True,1.3077942999079823,False,,,,True,,3.0,0.0,0.0
00218,1.0,3.0,54,2IFC,CC,,right,True,0.151244199834764,False,,,,True,0.03971641173621406,,,
,,,54,WM_probe,CC,,no_response,False,,True,3,0.0004112999886274338,True,True,,3.0,0.0,0.0
00218,1.0,3.0,55,2IFC,CI,,left,True,0.5728547000326216,False,,,,True,0.049999999999999996,,,
,,,55,WM_probe,CI,,4,True,1.347036800114438,False,,,,True,,4.0,0.0,0.0
00218,1.0,3.0,56,2IFC,SC,,right,True,0.6961366999894381,False,,,,True,0.01581138830084188,,,
,,,56,WM_probe,SC,,3,True,1.9437782000750303,False,,,,True,,3.0,0.0,0.0
00218,1.0,3.0,57,2IFC,CI,,right,False,0.7010610001161695,False,,,,False,0.03971641173621406,,,
,,,57,WM_probe,CI,,3,True,1.502598199993372,False,,,,True,,3.0,0.0,0.0
00218,1.0,3.0,58,2IFC,CC,,right,True,0.475518099963665,False,,,,True,0.031547867224009644,,,
,,,58,WM_probe,CC,,3,False,0.061648699920624495,False,,,,False,,4.0,0.0,0.0
00218,1.0,3.0,59,2IFC,CC,,right,False,0.2899770999792963,False,,,,False,0.031547867224009644,,,
,,,59,WM_probe,CC,,1,True,1.8011507000774145,False,,,,True,,1.0,0.0,0.0
00218,1.0,3.0,60,2IFC,SC,,right,True,0.3085912000387907,False,,,,True,0.01581138830084188,,,
,,,60,WM_probe,SC,,4,False,1.709677399834618,False,,,,False,,2.0,1.0,0.0
00218,1.0,3.0,61,2IFC,CC,,right,True,0.42256030021235347,False,,,,True,0.03971641173621406,,,
,,,61,WM_probe,CC,,1,False,2.2639162000268698,False,,,,False,,3.0,0.0,0.0
00218,1.0,3.0,62,2IFC,SC,,right,True,0.3531573999207467,False,,,,True,0.012559432157547883,,,
,,,62,WM_probe,SC,,2,True,1.805515900021419,False,,,,True,,2.0,0.0,0.0
00218,1.0,3.0,63,2IFC,SC,,right,True,0.29606590000912547,False,,,,True,0.012559432157547883,,,
,,,63,WM_probe,SC,,4,False,2.2687456998974085,False,,,,False,,3.0,1.0,0.0
00218,1.0,3.0,64,2IFC,CI,,right,True,0.18225209997035563,False,,,,True,0.049999999999999996,,,
,,,64,WM_probe,CI,,1,False,1.7161732001695782,False,,,,False,,2.0,0.0,0.0
00218,1.0,3.0,65,2IFC,SC,,right,True,0.3366113998927176,False,,,,True,0.012559432157547883,,,
,,,65,WM_probe,SC,,3,False,1.6365842998493463,False,,,,False,,2.0,0.0,1.0
00218,1.0,3.0,66,2IFC,CC,,right,False,0.18263799999840558,False,,,,False,0.03971641173621406,,,
,,,66,WM_probe,CC,,3,True,2.175329899881035,False,,,,True,,3.0,0.0,0.0
00218,1.0,3.0,67,2IFC,CI,,no_response,False,,True,right,0.00030010007321834564,False,False,0.049999999999999996,,,
,,,67,WM_probe,CI,,2,True,1.5624448000453413,False,,,,True,,2.0,0.0,0.0
00218,1.0,3.0,68,2IFC,SC,,right,True,0.37591379997320473,False,,,,True,0.009976311574844382,,,
