Condition,s (type1 zROC),d1 (EV),da,meta_d,meta_da,M_ratio (meta_d/d1),M_ratio (meta_da/da)
SC,1.785,1.486,1.545,0.907,1.119,0.61,0.724
CC,2.42,1.951,2.186,0.668,0.873,0.342,0.399
CI,1.582,1.726,1.79,0.989,1.182,0.573,0.66
