Condition,slope,d1,da,meta_d,meta_da,meta_da_yes,meta_da_no,M_ratio (da)
SC,1.228,0.9,1.077,0.464,0.508,1.304,0.017,0.472
CC,1.38,1.144,1.329,0.706,0.808,0.71,-1.589,0.608
CI,1.38,0.758,0.94,0.561,0.642,0.507,0.537,0.683
