Condition,s (type1 zROC),d1 (EV),da,meta_d,meta_da,M_ratio (meta_d/d1),M_ratio (meta_da/da)
SC,1.606,1.447,1.527,0.8,0.96,0.553,0.629
CC,1.008,1.597,1.601,0.879,0.883,0.551,0.551
CI,0.928,2.178,2.143,0.709,0.682,0.325,0.318
