Condition,slope,d1,da,meta_d,meta_da,meta_da_yes,meta_da_no,M_ratio (da)
SC,0.958,0.719,0.699,0.774,0.757,0.395,0.182,1.084
CC,1.057,1.072,1.083,1.198,1.231,0.715,-0.409,1.137
CI,1.717,1.477,1.361,1.146,1.4,1.102,-2.382,1.029
