Condition,slope,d1,da,meta_d,meta_da,meta_da_yes,meta_da_no,M_ratio (da)
SC,2.376,1.0,1.629,0.461,0.601,-0.347,0.176,0.369
CC,2.579,0.709,1.57,0.22,0.291,-0.387,0.05,0.185
CI,1.0,1.47,1.47,0.533,0.533,0.858,-0.187,0.363
