Condition,s (type1 zROC),d1 (EV),da,meta_d,meta_da,M_ratio (meta_d/d1),M_ratio (meta_da/da)
SC,1.742,1.467,1.434,1.006,1.234,0.686,0.861
CC,1.406,1.287,1.443,0.79,0.91,0.614,0.631
CI,0.932,1.31,1.305,1.065,1.027,0.813,0.787
