Trial,Task,Category,FacePresent,Response,Correct,RT,NoResponse,LateResponse,LateResponseRT,LateCorrect,Combined_Correct,Contrast,Replaced,PTC,PTR
1,2IFC,SC,,right,True,0.5275980001315475,False,,,,True,0.049999999999999996,,,
1,WM_probe,SC,,4,True,1.7807718000840396,False,,,,True,,4.0,0.0,0.0
2,2IFC,CI,,left,True,0.24158930010162294,False,,,,True,0.049999999999999996,,,
2,WM_probe,CI,,3,True,1.1596892999950796,False,,,,True,,3.0,0.0,0.0
3,2IFC,SC,,right,True,0.33288070000708103,False,,,,True,0.03971641173621406,,,
3,WM_probe,SC,,4,True,2.38580339984037,False,,,,True,,4.0,0.0,0.0
4,2IFC,SC,,right,True,0.44232529983855784,False,,,,True,0.031547867224009644,,,
4,WM_probe,SC,,3,True,1.6218614000827074,False,,,,True,,3.0,0.0,0.0
5,2IFC,SC,,left,False,0.46875800006091595,False,,,,False,0.025059361681363596,,,
5,WM_probe,SC,,2,True,2.1728207000996917,False,,,,True,,2.0,0.0,0.0
6,2IFC,CI,,no_response,False,,True,,,,False,0.03971641173621406,,,
6,WM_probe,CI,,1,True,1.759392100153491,False,,,,True,,1.0,0.0,0.0
7,2IFC,CI,,right,True,0.4493193000089377,False,,,,True,0.049999999999999996,,,
7,WM_probe,CI,,4,True,2.07615159987472,False,,,,True,,4.0,0.0,0.0
8,2IFC,CC,,right,True,0.6648719999939203,False,,,,True,0.049999999999999996,,,
8,WM_probe,CC,,2,True,2.5250772999133915,False,,,,True,,2.0,0.0,0.0
9,2IFC,CI,,right,True,0.6869580000638962,False,,,,True,0.049999999999999996,,,
9,WM_probe,CI,,1,True,1.2963313001673669,False,,,,True,,1.0,0.0,0.0
10,2IFC,CI,,left,True,0.5722149000503123,False,,,,True,0.049999999999999996,,,
10,WM_probe,CI,,3,True,2.362736700102687,False,,,,True,,3.0,0.0,0.0
11,2IFC,SC,,right,True,0.44921449990943074,False,,,,True,0.031547867224009644,,,
11,WM_probe,SC,,2,False,2.5481893001124263,False,,,,False,,1.0,0.0,0.0
12,2IFC,CI,,right,True,0.29799839993938804,False,,,,True,0.03971641173621406,,,
12,WM_probe,CI,,3,True,2.1190468000713736,False,,,,True,,3.0,0.0,0.0
13,2IFC,CC,,left,True,0.7083124001510441,False,,,,True,0.03971641173621406,,,
13,WM_probe,CC,,4,True,2.652914000209421,False,,,,True,,4.0,0.0,0.0
14,2IFC,CC,,right,True,0.49071140005253255,False,,,,True,0.031547867224009644,,,
14,WM_probe,CC,,1,True,1.9522048998624086,False,,,,True,,1.0,0.0,0.0
15,2IFC,SC,,right,True,0.6216742000542581,False,,,,True,0.031547867224009644,,,
15,WM_probe,SC,,1,True,2.413030599942431,False,,,,True,,1.0,0.0,0.0
16,2IFC,CI,,left,True,0.5134479000698775,False,,,,True,0.03971641173621406,,,
16,WM_probe,CI,,3,True,1.8415411999449134,False,,,,True,,3.0,0.0,0.0
17,2IFC,CC,,left,False,0.7811096999794245,False,,,,False,0.025059361681363596,,,
17,WM_probe,CC,,3,True,2.638818300096318,False,,,,True,,3.0,0.0,0.0
18,2IFC,CI,,right,True,0.6323675001040101,False,,,,True,0.03971641173621406,,,
18,WM_probe,CI,,1,False,2.824449900072068,False,,,,False,,4.0,0.0,0.0
19,2IFC,CC,,left,True,0.5728273999411613,False,,,,True,0.031547867224009644,,,
19,WM_probe,CC,,3,True,2.129365300061181,False,,,,True,,3.0,0.0,0.0
20,2IFC,CC,,left,True,0.6196153000928462,False,,,,True,0.031547867224009644,,,
20,WM_probe,CC,,3,True,2.4808906000107527,False,,,,True,,3.0,0.0,0.0
21,2IFC,CI,,right,True,0.6946803999599069,False,,,,True,0.031547867224009644,,,
21,WM_probe,CI,,4,True,1.774752900004387,False,,,,True,,4.0,0.0,0.0
22,2IFC,CC,,right,True,0.5111951001454145,False,,,,True,0.031547867224009644,,,
22,WM_probe,CC,,2,True,1.225396899972111,False,,,,True,,2.0,0.0,0.0
23,2IFC,CI,,right,True,0.4787353000137955,False,,,,True,0.031547867224009644,,,
23,WM_probe,CI,,2,True,1.1290800999850035,False,,,,True,,2.0,0.0,0.0
24,2IFC,CC,,right,False,0.7013328999746591,False,,,,False,0.025059361681363596,,,
24,WM_probe,CC,,2,True,1.9503155001439154,False,,,,True,,2.0,0.0,0.0
25,2IFC,CC,,left,True,0.5038463999517262,False,,,,True,0.031547867224009644,,,
25,WM_probe,CC,,4,True,2.086168099893257,False,,,,True,,4.0,0.0,0.0
26,2IFC,SC,,left,True,0.5765609999652952,False,,,,True,0.031547867224009644,,,
26,WM_probe,SC,,3,False,2.7429680000059307,False,,,,False,,2.0,0.0,0.0
27,2IFC,CI,,right,True,0.4729257000144571,False,,,,True,0.031547867224009644,,,
27,WM_probe,CI,,4,True,2.154672999866307,False,,,,True,,4.0,0.0,0.0
28,2IFC,CC,,left,True,0.6428199000656605,False,,,,True,0.031547867224009644,,,
28,WM_probe,CC,,3,True,2.821318400092423,False,,,,True,,3.0,0.0,0.0
