Condition,slope,d1,da,meta_d,meta_da,meta_da_yes,meta_da_no,M_ratio (da)
SC,1.281,0.865,0.985,0.667,0.743,1.451,-0.166,0.755
CC,0.952,0.772,0.751,0.839,0.818,1.736,0.008,1.089
CI,0.74,0.582,0.37,0.63,0.53,0.531,0.032,1.432
