Condition,s (type1 zROC),d1 (EV),da,meta_d,meta_da,M_ratio (meta_d/d1),M_ratio (meta_da/da)
SC,0.983,1.613,1.612,0.792,0.785,0.491,0.487
CC,1.073,1.431,1.432,0.952,0.985,0.666,0.688
CI,1.064,1.448,1.436,1.033,1.065,0.714,0.741
