Condition,slope,M_ratio_eq,M_ratio_uv,d_eq,da_uv
SC,1.6264540980796232,0.3815428316249163,0.3006298153790973,2.237,2.378
CC,1.9226494490265515,0.574461199026307,0.3710616663926011,1.735,1.897
CI,1.9077263548588006,0.5219860757345867,0.3729871619574213,2.104,2.149
