Condition,s (type1 zROC),d1 (EV),da,meta_d,meta_da,M_ratio (meta_d/d1),M_ratio (meta_da/da)
SC,1.856,1.361,1.139,0.905,1.126,0.665,0.989
CC,1.542,1.433,1.297,0.704,0.835,0.491,0.644
CI,1.35,1.777,1.601,1.041,1.183,0.586,0.739
