Condition,slope,d1,da,meta_d,meta_da,meta_da_yes,meta_da_no,M_ratio (da)
SC,1.0,1.515,1.515,0.626,0.626,1.628,-0.685,0.413
CC,1.118,1.42,1.524,0.713,0.752,0.864,-0.52,0.493
CI,1.0,0.68,0.68,0.37,0.37,-1.812,0.086,0.544
