Condition,slope,d1,da,meta_d,meta_da,meta_da_yes,meta_da_no,M_ratio (da)
SC,2.069,1.192,1.526,0.491,0.625,0.562,-0.648,0.41
CC,1.134,0.937,1.048,0.502,0.532,0.377,-0.144,0.508
CI,1.181,0.839,0.943,0.623,0.672,-0.261,0.218,0.712
