Condition,s (type1 zROC),d1 (EV),da,meta_d,meta_da,M_ratio (meta_d/d1),M_ratio (meta_da/da)
SC,1.479,1.445,1.308,1.66,1.945,1.149,1.488
CC,1.668,1.386,1.278,1.145,1.388,0.826,1.086
CI,0.986,1.202,1.204,1.166,1.157,0.97,0.961
