Condition,s (type1 zROC),d1 (EV),da,meta_d,meta_da,M_ratio (meta_d/d1),M_ratio (meta_da/da)
SC,1.2,1.637,1.649,0.964,1.047,0.589,0.635
CC,0.837,1.709,1.68,1.08,0.981,0.632,0.584
CI,1.208,1.35,1.372,0.969,1.056,0.718,0.769
