Condition,slope,d1,da,meta_d,meta_da,meta_da_yes,meta_da_no,M_ratio (da)
SC,1.0,1.194,1.194,0.514,0.514,1.91,-0.542,0.43
CC,1.0,1.767,1.767,0.667,0.667,0.45,0.117,0.378
CI,1.0,1.264,1.264,0.601,0.601,0.451,-0.035,0.475
