Experiment,Subject,Condition,meta_da,da,M_ratio
Preliminary Experiment,00060,CC,1.346,1.897,0.7095413811280971
Preliminary Experiment,00060,CI,1.495,2.149,0.6956724057701257
Preliminary Experiment,00061,SC,1.214,1.839,0.6601413811854269
Preliminary Experiment,00061,CC,1.168,1.765,0.6617563739376771
Preliminary Experiment,00061,CI,1.1,1.676,0.6563245823389022
Preliminary Experiment,00068,SC,1.165,1.856,0.6276939655172413
Preliminary Experiment,00068,CC,1.219,1.488,0.819220430107527
Preliminary Experiment,00068,CI,1.333,1.469,0.9074200136147038
Preliminary Experiment,00071,SC,0.894,1.452,0.615702479338843
Preliminary Experiment,00071,CC,0.82,1.553,0.5280103026400516
Preliminary Experiment,00071,CI,2.015,1.291,1.5608055770720373
Preliminary Experiment,00130,SC,1.217,2.117,0.5748700991969768
Preliminary Experiment,00130,CC,0.965,2.098,0.4599618684461392
Preliminary Experiment,00130,CI,1.185,2.252,0.5261989342806395
Preliminary Experiment,00161,SC,0.945,1.522,0.6208935611038108
Preliminary Experiment,00161,CC,0.843,1.455,0.579381443298969
Preliminary Experiment,00161,CI,1.279,1.562,0.8188220230473751
Preliminary Experiment,00162,SC,1.047,1.649,0.6349302607640994
Preliminary Experiment,00162,CC,0.981,1.68,0.5839285714285715
Preliminary Experiment,00162,CI,1.056,1.372,0.7696793002915452
Preliminary Experiment,00193,SC,0.836,1.558,0.5365853658536585
Preliminary Experiment,00193,CC,0.867,1.355,0.6398523985239852
Preliminary Experiment,00193,CI,1.299,1.525,0.8518032786885246
Preliminary Experiment,00200,SC,0.918,1.701,0.5396825396825397
Preliminary Experiment,00200,CC,0.931,1.486,0.626514131897712
Preliminary Experiment,00200,CI,1.199,1.517,0.7903757415952539
Preliminary Experiment,00201,SC,0.988,1.777,0.5559932470455825
Preliminary Experiment,00201,CC,0.824,1.907,0.43209229155742
Preliminary Experiment,00201,CI,1.309,1.489,0.8791134989926124
Preliminary Experiment,00202,SC,1.048,1.54,0.6805194805194805
Preliminary Experiment,00202,CC,0.82,1.65,0.49696969696969695
Preliminary Experiment,00202,CI,1.126,1.477,0.7623561272850371
