Participant,Day,SessionBlock,Trial,Task,Category,FacePresent,Response,Correct,RT,NoResponse,LateResponse,LateResponseRT,LateCorrect,Combined_Correct,Contrast,Replaced,PTC,PTR
,,,31,WM_probe,CC,,2,True,2.1313503002747893,False,,,,True,,2.0,0.0,0.0
00217,2.0,5.0,32,2IFC,SC,,right,True,0.6307628001086414,False,,,,True,0.004999999999999989,,,
,,,32,WM_probe,SC,,3,False,1.7299468996934593,False,,,,False,,4.0,1.0,0.0
00217,2.0,5.0,33,2IFC,CI,,left,True,0.3414416001178324,False,,,,True,0.049999999999999996,,,
,,,33,WM_probe,CI,,3,True,1.7051258999854326,False,,,,True,,3.0,0.0,0.0
00217,2.0,5.0,34,2IFC,CC,,left,True,0.24730509985238314,False,,,,True,0.009976311574844382,,,
,,,34,WM_probe,CC,,2,True,1.5706535996869206,False,,,,True,,2.0,0.0,0.0
00217,2.0,5.0,35,2IFC,CC,,left,False,0.20559540018439293,False,,,,False,0.009976311574844382,,,
,,,35,WM_probe,CC,,2,True,1.7348762997426093,False,,,,True,,2.0,0.0,0.0
00217,2.0,5.0,36,2IFC,SC,,left,True,0.20765830017626286,False,,,,True,0.003971641173621398,,,
,,,36,WM_probe,SC,,3,True,1.4504829002544284,False,,,,True,,3.0,0.0,0.0
00217,2.0,5.0,37,2IFC,CC,,left,True,0.2523368997499347,False,,,,True,0.012559432157547883,,,
,,,37,WM_probe,CC,,3,False,2.009802400134504,False,,,,False,,2.0,0.0,0.0
00217,2.0,5.0,38,2IFC,CC,,right,True,0.23527059983462095,False,,,,True,0.012559432157547883,,,
,,,38,WM_probe,CC,,3,False,1.9573190002702177,False,,,,False,,4.0,0.0,0.0
00217,2.0,5.0,39,2IFC,CI,,left,True,0.557216300163418,False,,,,True,0.03971641173621406,,,
,,,39,WM_probe,CI,,2,False,1.591755200177431,False,,,,False,,1.0,0.0,0.0
00217,2.0,5.0,40,2IFC,SC,,left,False,0.20693660015240312,False,,,,False,0.003154786722400958,,,
,,,40,WM_probe,SC,,1,True,1.629111799877137,False,,,,True,,1.0,0.0,0.0
00217,2.0,5.0,41,2IFC,CI,,right,True,0.24703620001673698,False,,,,True,0.03971641173621406,,,
,,,41,WM_probe,CI,,4,True,1.650091900024563,False,,,,True,,4.0,0.0,0.0
00217,2.0,5.0,42,2IFC,SC,,left,True,0.25455980002880096,False,,,,True,0.003971641173621398,,,
,,,42,WM_probe,SC,,3,False,1.8917827997356653,False,,,,False,,1.0,1.0,0.0
00217,2.0,5.0,43,2IFC,CI,,left,True,0.30972500005736947,False,,,,True,0.03971641173621406,,,
,,,43,WM_probe,CI,,2,True,1.5347400000318885,False,,,,True,,2.0,0.0,0.0
00217,2.0,5.0,44,2IFC,SC,,left,True,0.47309340024366975,False,,,,True,0.003971641173621398,,,
,,,44,WM_probe,SC,,4,True,1.4617745000869036,False,,,,True,,4.0,0.0,0.0
00217,2.0,5.0,45,2IFC,CI,,right,True,0.3052721000276506,False,,,,True,0.031547867224009644,,,
,,,45,WM_probe,CI,,1,True,2.050914100371301,False,,,,True,,1.0,0.0,0.0
00217,2.0,5.0,46,2IFC,SC,,right,True,0.40967119997367263,False,,,,True,0.003971641173621398,,,
,,,46,WM_probe,SC,,3,True,1.8760474999435246,False,,,,True,,3.0,0.0,0.0
00217,2.0,5.0,47,2IFC,CI,,left,True,0.3610908999107778,False,,,,True,0.031547867224009644,,,
,,,47,WM_probe,CI,,3,True,2.176195700187236,False,,,,True,,3.0,0.0,0.0
00217,2.0,5.0,48,2IFC,SC,,left,True,0.33821750013157725,False,,,,True,0.003154786722400958,,,
,,,48,WM_probe,SC,,1,True,1.743836299981922,False,,,,True,,1.0,0.0,0.0
00217,2.0,5.0,49,2IFC,SC,,right,True,0.30530310003086925,False,,,,True,0.003154786722400958,,,
,,,49,WM_probe,SC,,3,False,2.0540022999048233,False,,,,False,,1.0,1.0,0.0
00217,2.0,5.0,50,2IFC,CI,,right,True,0.27621820010244846,False,,,,True,0.031547867224009644,,,
,,,50,WM_probe,CI,,3,False,2.3518240000121295,False,,,,False,,4.0,0.0,0.0
00217,2.0,5.0,51,2IFC,CC,,left,True,0.5442010001279414,False,,,,True,0.012559432157547883,,,
,,,51,WM_probe,CC,,1,True,1.415905199944973,False,,,,True,,1.0,0.0,0.0
00217,2.0,5.0,52,2IFC,CC,,right,False,0.5187693000771105,False,,,,False,0.009976311574844382,,,
,,,52,WM_probe,CC,,4,True,1.5872891996987164,False,,,,True,,4.0,0.0,0.0
00217,2.0,5.0,53,2IFC,CC,,right,True,0.4195467000827193,False,,,,True,0.012559432157547883,,,
,,,53,WM_probe,CC,,4,True,2.4115009997040033,False,,,,True,,4.0,0.0,0.0
00217,2.0,5.0,54,2IFC,CI,,left,True,0.2890737997367978,False,,,,True,0.025059361681363596,,,
,,,54,WM_probe,CI,,4,True,2.0440619997680187,False,,,,True,,4.0,0.0,0.0
00217,2.0,5.0,55,2IFC,CC,,left,True,0.566452800296247,False,,,,True,0.012559432157547883,,,
,,,55,WM_probe,CC,,2,True,1.7865460999310017,False,,,,True,,2.0,0.0,0.0
00217,2.0,5.0,56,2IFC,CC,,left,False,0.268433699849993,False,,,,False,0.012559432157547883,,,
,,,56,WM_probe,CC,,4,False,1.4717422998510301,False,,,,False,,2.0,0.0,0.0
00217,2.0,5.0,57,2IFC,CI,,right,True,0.4470701003447175,False,,,,True,0.025059361681363596,,,
