Condition,slope,d1,da,meta_d,meta_da,meta_da_yes,meta_da_no,M_ratio (da)
SC,1.123,1.39,1.5,0.611,0.645,0.618,-0.028,0.43
CC,0.976,1.178,1.157,0.588,0.581,1.519,-0.073,0.502
CI,0.978,1.078,1.058,0.598,0.591,0.7,0.861,0.559
