Condition,s (type1 zROC),d1 (EV),da,meta_d,meta_da,M_ratio (meta_d/d1),M_ratio (meta_da/da)
SC,0.698,1.221,1.148,1.013,0.82,0.829,0.714
CC,1.192,1.179,1.206,0.866,0.938,0.734,0.778
CI,1.409,1.287,1.319,0.653,0.753,0.507,0.571
