Condition,slope,d1,da,meta_d,meta_da,meta_da_yes,meta_da_no,M_ratio (da)
SC,2.542,0.42,0.641,0.501,0.659,-0.476,0.085,1.028
CC,1.584,0.53,0.634,0.801,0.957,0.34,-1.434,1.511
CI,1.051,0.56,0.574,0.783,0.802,0.267,-0.084,1.397
