Condition,s (type1 zROC),d1 (EV),da,meta_d,meta_da,M_ratio (meta_d/d1),M_ratio (meta_da/da)
SC,1.697,1.832,1.843,0.902,1.099,0.493,0.596
CC,2.372,1.526,1.4,0.878,1.145,0.576,0.817
CI,1.207,1.212,1.222,0.964,1.05,0.796,0.859
