Condition,slope,d1,da,meta_d,meta_da,meta_da_yes,meta_da_no,M_ratio (da)
SC,1.287,1.08,0.989,0.899,1.004,0.994,0.763,1.015
CC,1.093,0.709,0.701,1.28,1.335,0.311,0.118,1.904
CI,1.069,0.598,0.582,1.226,1.266,0.72,0.838,2.176
