Task,Condition,mean,std,count
Scaled 2IFC,SC,1.1010536466551029,0.17915782148708997,16
Scaled 2IFC,CC,1.1415355098780327,0.22467604456194257,16
Scaled 2IFC,CI,1.0581852980456683,0.147586358899911,16
YN,SC,1.3249375,0.3577055527944737,16
YN,CC,1.085625,0.5839352561143515,16
YN,CI,0.763875,0.3957815685450751,16
