Subject,Category,Contrast
00139,CC,0.050047096825568946
00139,CI,0.04039793587950804
00139,SC,0.03900133885715965
00173,CC,0.04582504928204452
00173,CI,0.059266845714568944
00173,SC,0.04731195428069716
00210,CC,0.03298799082706306
00210,CI,0.04410333457676985
00210,SC,0.03530468546486414
00212,CC,0.037311035746022
00212,CI,0.0633671386538615
00212,SC,0.046839368994237435
00216,CC,0.0536714952641942
00216,CI,0.05408565299156442
00216,SC,0.049159069630597324
00217,CC,0.02879879014736701
00217,CI,0.040220370867205577
00217,SC,0.031221759471368606
00218,CC,0.04525811560113717
00218,CI,0.06322678892980255
00218,SC,0.038220956079372204
00219,CC,0.021127769609394515
00219,CI,0.02433176045014568
00219,SC,0.021285638353302345
00220,CC,0.0656962447553262
00220,CI,0.06408517897091945
00220,SC,0.057552182470682625
00222,CC,0.042608707053139704
00222,CI,0.0470056775025021
00222,SC,0.04953738799707716
00223,CC,0.05351197352124842
00223,CI,0.06531813611419589
00223,SC,0.04584684288214056
00224,CC,0.0306462743444016
00224,CI,0.0367066074603933
00224,SC,0.027875347973489603
00225,CC,0.027183157476401223
00225,CI,0.02623851493204363
00225,SC,0.026138105205276565
00226,CC,0.05594845978114833
00226,CI,0.06494424953773348
00226,SC,0.053181600333426164
00227,CC,0.035369199397167775
00227,CI,0.056155697907830246
00227,SC,0.04246725899007073
00228,CC,0.021511334962630302
00228,CI,0.029321509887159508
00228,SC,0.027969241137062558
