Task,Condition,mean,std,count
2IFC,SC,1.557125,0.2533674209522606,16
2IFC,CC,1.614375,0.31773990935984103,16
2IFC,CI,1.4965,0.2087186303775173,16
YN,SC,1.3249375,0.3577055527944737,16
YN,CC,1.085625,0.5839352561143515,16
YN,CI,0.763875,0.3957815685450751,16
