Source,SS,ddof1,ddof2,MS,F,p_unc,p_GG_corr,ng2,eps
Measure,1.4820540000000002,1,15,1.4820540000000002,290.2636606967992,3.176233032504098e-11,3.176233032504098e-11,0.6486989371321692,1.0
Condition,0.32811377083333343,2,30,0.16405688541666671,35.379056319544695,1.2812045217100874e-08,2.958274368685429e-08,0.29018232788839926,0.9449142205210312
Measure * Condition,0.1858860624999999,2,30,0.09294303124999995,21.887041101459562,1.3748698594388279e-06,1.677097485846867e-06,0.18805086884257785,0.9813637361501576
