Subject,Condition,da_yn,da_2ifc,da_ratio
00139,SC,1.326,2.31,0.574025974025974
00139,CC,1.16,2.311,0.5019472090004327
00139,CI,0.587,1.815,0.3234159779614325
00173,SC,0.7,1.549,0.45190445448676564
00173,CC,0.965,1.344,0.7180059523809523
00173,CI,1.035,1.278,0.8098591549295774
00210,SC,1.248,1.298,0.9614791987673343
00210,CC,0.636,1.41,0.4510638297872341
00210,CI,1.127,1.416,0.79590395480226
00212,SC,0.832,1.473,0.5648336727766462
00212,CC,0.494,1.17,0.4222222222222222
00212,CI,0.879,1.224,0.7181372549019608
00216,SC,1.614,1.546,1.0439844760672705
00216,CC,0.395,1.416,0.27895480225988706
00216,CI,1.472,1.613,0.9125852448853069
00217,SC,1.206,1.356,0.8893805309734513
00217,CC,0.944,1.358,0.6951399116347569
00217,CI,0.133,1.442,0.09223300970873788
00218,SC,1.339,1.43,0.9363636363636364
00218,CC,1.952,1.675,1.1653731343283582
00218,CI,0.323,1.06,0.30471698113207546
00219,SC,1.326,1.702,0.7790834312573444
00219,CC,1.45,1.753,0.8271534512264689
00219,CI,1.088,1.587,0.6855702583490864
00220,SC,1.515,1.139,1.3301141352063213
00220,CC,1.524,1.297,1.1750192752505784
00220,CI,0.68,1.601,0.4247345409119301
00222,SC,2.014,1.463,1.3766233766233764
00222,CC,2.211,1.479,1.4949290060851925
00222,CI,1.085,1.645,0.6595744680851063
00223,SC,1.673,1.468,1.1396457765667576
00223,CC,1.666,1.634,1.0195838433292534
00223,CI,1.159,1.497,0.7742150968603874
00224,SC,1.514,1.734,0.8731257208765859
00224,CC,1.244,1.614,0.7707558859975217
00224,CI,0.234,1.74,0.13448275862068967
00225,SC,0.788,1.593,0.4946641556811049
00225,CC,0.816,1.823,0.4476138233680746
00225,CI,0.458,1.484,0.3086253369272237
00226,SC,1.549,1.554,0.9967824967824968
00226,CC,1.15,2.038,0.5642787046123651
00226,CI,1.023,1.783,0.5737521031968592
00227,SC,1.57,1.687,0.9306461173681091
00227,CC,0.012,2.076,0.005780346820809248
00227,CI,0.569,1.323,0.43008314436885864
00228,SC,0.985,1.612,0.6110421836228287
00228,CC,0.751,1.432,0.5244413407821229
00228,CI,0.37,1.436,0.2576601671309192
