Source,SS,ddof1,ddof2,MS,F,p_unc,p_GG_corr,ng2,eps
Task,0.04256273624599128,1,15,0.04256273624599128,0.24817441166082962,0.6255881245914505,0.6255881245914505,0.003872299530520204,1.0
Condition,1.5156593963997693,2,30,0.7578296981998847,8.41891006661558,0.0012527623809347663,0.0035907063963675455,0.12159625057600694,0.7556960324361467
Task * Condition,1.0763853952668985,2,30,0.5381926976334492,5.7281425989751495,0.00781561342415603,0.012080062731734538,0.08950921299706538,0.8379020545651059
