Measure,Condition,mean,std,count
HR,SC,0.4245625,0.13189691366113665,16
HR,CC,0.360375,0.10110975884321619,16
HR,CI,0.183375,0.12116373219738652,16
FAR,SC,0.079,0.05821225529617167,16
FAR,CC,0.0929375,0.06913221029303201,16
FAR,CI,0.050875000000000004,0.05512032293083922,16
