Subject,Condition,da_yn,da_2ifc,da_2ifc_scaled
00139,SC,1.326,2.31,1.6334166645409247
00139,CC,1.16,2.311,1.6341237713221113
00139,CI,0.587,1.815,1.2833988078535836
00173,SC,0.7,1.549,1.095308404057962
00173,CC,0.965,1.344,0.9503515139147198
00173,CI,1.035,1.278,0.9036824663564077
00210,SC,1.248,1.298,0.9178246019801386
00210,CC,0.636,1.41,0.9970205614730319
00210,CI,1.127,1.416,1.001263202160151
00212,SC,0.832,1.473,1.0415682886877844
00212,CC,0.494,1.17,0.8273149339882605
00212,CI,0.879,1.224,0.8654987001723341
00216,SC,1.614,1.546,1.0931870837144024
00216,CC,0.395,1.416,1.001263202160151
00216,CI,1.472,1.613,1.140563238053901
00217,SC,1.206,1.356,0.9588367952889585
00217,CC,0.944,1.358,0.9602510088513315
00217,CI,0.133,1.442,1.0196479784710015
00218,SC,1.339,1.43,1.0111626970967629
00218,CC,1.952,1.675,1.184403858487467
00218,CI,0.323,1.06,0.7495331880577404
00219,SC,1.326,1.702,1.2034957415795038
00219,CC,1.45,1.753,1.2395581874200177
00219,CI,1.088,1.587,1.1221784617430508
00220,SC,1.515,1.139,0.8053946237714776
00220,CC,1.524,1.297,0.917117495198952
00220,CI,0.68,1.601,1.1320779566796626
00222,SC,2.014,1.463,1.034497220875919
00222,CC,2.211,1.479,1.0458109293749038
00222,CI,1.085,1.645,1.1631906550518707
00223,SC,1.673,1.468,1.0380327547818518
00223,CC,1.666,1.634,1.1554124804588186
00223,CI,1.159,1.497,1.0585388514362617
00224,SC,1.514,1.734,1.2261231585774732
00224,CC,1.244,1.614,1.1412703448350876
00224,CI,0.234,1.74,1.2303657992645927
00225,SC,0.788,1.593,1.12642110243017
00225,CC,0.816,1.823,1.289055662103076
00225,CI,0.458,1.484,1.0493464632808365
00226,SC,1.549,1.554,1.0988439379638948
00226,CC,1.15,2.038,1.4410836200581836
00226,CI,1.023,1.783,1.2607713908556142
00227,SC,1.57,1.687,1.1928891398617056
00227,CC,0.012,2.076,1.4679536777432727
00227,CI,0.569,1.323,0.9355022715098023
00228,SC,0.985,1.612,1.1398561312727147
00228,CC,0.751,1.432,1.012576910659136
00228,CI,0.37,1.436,1.015405337783882
