Phase,Category,mean,std,count
After 2IFC,SC,63.73106060606061,11.96478574890537,16
After 2IFC,CC,64.80429292929293,12.394120159814962,16
After 2IFC,CI,65.05681818181819,13.56223616910103,16
After YN,SC,66.95075757575758,11.62123846019166,16
After YN,CC,64.17297979797979,11.226018550704667,16
After YN,CI,67.14015151515152,14.616210189816417,16
