Source,SS,ddof1,ddof2,MS,F,p_unc,p_GG_corr,ng2,eps
Task,5.9486105104166676,1,15,5.9486105104166676,29.346493487484498,7.132886916983901e-05,7.132886916983901e-05,0.32219057394095263,1.0
Condition,1.6344326458333338,2,30,0.8172163229166669,8.362585752920525,0.001298838814685017,0.0037376676021292797,0.11551707266803318,0.7529188499921629
Task * Condition,1.0132053958333316,2,30,0.5066026979166658,4.904382450299114,0.014359465317173336,0.01950557199039909,0.0748990506209027,0.8587268605590354
