Subject,Condition,HR,FAR
00139,SC,0.47,0.136
00139,CC,0.46,0.151
00139,CI,0.146,0.056
00173,SC,0.255,0.045
00173,CC,0.385,0.065
00173,CI,0.145,0.035
00210,SC,0.295,0.055
00210,CC,0.335,0.145
00210,CI,0.205,0.005
00212,SC,0.562,0.217
00212,CC,0.48,0.255
00212,CI,0.46,0.187
00216,SC,0.356,0.045
00216,CC,0.215,0.056
00216,CI,0.126,0.015
00217,SC,0.545,0.135
00217,CC,0.415,0.125
00217,CI,0.305,0.115
00218,SC,0.325,0.015
00218,CC,0.245,0.015
00218,CI,0.035,0.005
00219,SC,0.405,0.075
00219,CC,0.255,0.045
00219,CI,0.125,0.015
00220,SC,0.395,0.015
00220,CC,0.399,0.025
00220,CI,0.119,0.015
00222,SC,0.585,0.055
00222,CC,0.455,0.025
00222,CI,0.115,0.066
00223,SC,0.405,0.005
00223,CC,0.305,0.015
00223,CI,0.215,0.005
00224,SC,0.145,0.045
00224,CC,0.275,0.055
00224,CI,0.025,0.005
00225,SC,0.435,0.115
00225,CC,0.465,0.115
00225,CI,0.035,0.025
00226,SC,0.495,0.075
00226,CC,0.405,0.105
00226,CI,0.298,0.045
00227,SC,0.655,0.076
00227,CC,0.187,0.095
00227,CI,0.245,0.075
00228,SC,0.465,0.155
00228,CC,0.485,0.195
00228,CI,0.335,0.145
