Contrast,A,B,Paired,Parametric,T,dof,alternative,p_unc,p_corr,p_adjust,BF10,hedges
Category,SC,CC,True,True,-0.34741231204982165,15.0,two-sided,0.7331081929306487,1.0,bonf,0.269,-0.043523277740736686
Category,SC,CI,True,True,-4.654629927299277,15.0,two-sided,0.00031140800252259113,0.0009342240075677734,bonf,105.226,-0.6656405515552083
Category,CC,CI,True,True,-3.6154629149011988,15.0,two-sided,0.002543714281470605,0.007631142844411815,bonf,17.217,-0.5759527553835896
