Subject,Task,Category,Accuracy
00139,2IFC,CC,84.84848484848484
00139,2IFC,CI,81.31313131313132
00139,2IFC,SC,83.83838383838383
00139,YN,CC,63.63636363636363
00139,YN,CI,53.535353535353536
00139,YN,SC,66.16161616161617
00173,2IFC,CC,76.26262626262627
00173,2IFC,CI,74.24242424242425
00173,2IFC,SC,76.26262626262627
00173,YN,CC,66.16161616161617
00173,YN,CI,55.55555555555556
00173,YN,SC,60.60606060606061
00210,2IFC,CC,78.28282828282829
00210,2IFC,CI,77.27272727272727
00210,2IFC,SC,81.31313131313132
00210,YN,CC,59.59595959595959
00210,YN,CI,60.1010101010101
00210,YN,SC,62.121212121212125
00212,2IFC,CC,74.24242424242425
00212,2IFC,CI,77.27272727272727
00212,2IFC,SC,78.28282828282829
00212,YN,CC,61.111111111111114
00212,YN,CI,63.13131313131313
00212,YN,SC,66.16161616161617
00216,2IFC,CC,83.33333333333334
00216,2IFC,CI,79.7979797979798
00216,2IFC,SC,78.78787878787878
00216,YN,CC,57.57575757575758
00216,YN,CI,55.05050505050505
00216,YN,SC,65.15151515151516
00217,2IFC,CC,77.27272727272727
00217,2IFC,CI,75.75757575757575
00217,2IFC,SC,77.77777777777779
00217,YN,CC,64.64646464646465
00217,YN,CI,59.59595959595959
00217,YN,SC,70.70707070707071
00218,2IFC,CC,79.29292929292929
00218,2IFC,CI,76.26262626262627
00218,2IFC,SC,78.28282828282829
00218,YN,CC,61.111111111111114
00218,YN,CI,51.515151515151516
00218,YN,SC,65.65656565656566
00219,2IFC,CC,82.32323232323232
00219,2IFC,CI,81.31313131313132
00219,2IFC,SC,81.81818181818183
00219,YN,CC,60.60606060606061
00219,YN,CI,55.55555555555556
00219,YN,SC,66.66666666666666
00220,2IFC,CC,76.76767676767676
00220,2IFC,CI,78.78787878787878
00220,2IFC,SC,76.26262626262627
00220,YN,CC,68.18181818181817
00220,YN,CI,55.05050505050505
00220,YN,SC,68.68686868686868
00222,2IFC,CC,77.27272727272727
00222,2IFC,CI,79.7979797979798
00222,2IFC,SC,76.76767676767676
00222,YN,CC,71.71717171717171
00222,YN,CI,51.515151515151516
00222,YN,SC,76.76767676767676
00223,2IFC,CC,80.8080808080808
00223,2IFC,CI,78.78787878787878
00223,2IFC,SC,77.27272727272727
00223,YN,CC,64.64646464646465
00223,YN,CI,60.60606060606061
00223,YN,SC,70.2020202020202
00224,2IFC,CC,80.3030303030303
00224,2IFC,CI,83.33333333333334
00224,2IFC,SC,80.3030303030303
00224,YN,CC,61.111111111111114
00224,YN,CI,51.010101010101
00224,YN,SC,55.05050505050505
00225,2IFC,CC,79.7979797979798
00225,2IFC,CI,77.77777777777779
00225,2IFC,SC,79.29292929292929
00225,YN,CC,67.67676767676768
00225,YN,CI,50.505050505050505
00225,YN,SC,66.16161616161617
00226,2IFC,CC,80.8080808080808
00226,2IFC,CI,74.74747474747475
00226,2IFC,SC,79.29292929292929
00226,YN,CC,65.15151515151516
00226,YN,CI,62.62626262626263
00226,YN,SC,71.21212121212122
00227,2IFC,CC,84.84848484848484
00227,2IFC,CI,78.28282828282829
00227,2IFC,SC,77.27272727272727
00227,YN,CC,54.54545454545454
00227,YN,CI,58.58585858585859
00227,YN,SC,78.78787878787878
00228,2IFC,CC,77.77777777777779
00228,2IFC,CI,78.28282828282829
00228,2IFC,SC,80.8080808080808
00228,YN,CC,64.64646464646465
00228,YN,CI,59.59595959595959
00228,YN,SC,65.65656565656566
