Condition,slope,d1,da,meta_d,meta_da,meta_da_yes,meta_da_no,M_ratio (da)
SC,1.558,1.704,2.013,0.744,0.886,0.824,-0.177,0.44
CC,1.875,1.074,1.687,0.326,0.407,-0.446,-0.037,0.241
CI,0.923,0.0,-0.109,0.0,0.0,-0.667,0.393,-0.0
