Condition,s (type1 zROC),d1 (EV),da,meta_d,meta_da,M_ratio (meta_d/d1),M_ratio (meta_da/da)
SC,1.225,1.687,1.701,0.838,0.918,0.497,0.54
CC,1.127,1.48,1.486,0.88,0.931,0.595,0.627
CI,1.486,1.509,1.517,1.022,1.199,0.677,0.79
