Condition,slope,d1,da,meta_d,meta_da,meta_da_yes,meta_da_no,M_ratio (da)
SC,0.801,0.709,0.444,0.455,0.403,0.331,-0.509,0.908
CC,1.383,1.289,1.651,0.446,0.511,0.743,-0.002,0.31
CI,1.0,0.34,0.34,0.194,0.194,0.284,0.046,0.57
