Condition,s (type1 zROC),d1 (EV),da,meta_d,meta_da,M_ratio (meta_d/d1),M_ratio (meta_da/da)
SC,0.899,2.103,2.117,1.287,1.217,0.612,0.575
CC,1.1,2.095,2.098,0.922,0.965,0.44,0.46
CI,1.341,2.292,2.252,1.045,1.185,0.456,0.526
