Condition,slope,d1,da,meta_d,meta_da,meta_da_yes,meta_da_no,M_ratio (da)
SC,2.726,1.408,2.052,0.452,0.6,-0.676,-0.021,0.293
CC,5.0,1.134,1.912,1.382,1.916,-0.314,-0.175,1.002
CI,1.485,1.372,1.712,0.551,0.646,1.146,-0.304,0.377
