Condition,slope,M_ratio_eq,M_ratio_uv,d_eq,da_uv
SC,1.4617273907248964,0.5021838460522875,0.39679940379367545,1.842,1.955
CC,1.37404951101973,0.5731610883163767,0.48547685895785153,1.991,2.065
CI,1.5860388451830807,0.5547534748695367,0.4593219081075391,1.875,1.941
