Condition,s (type1 zROC),d1 (EV),da,meta_d,meta_da,M_ratio (meta_d/d1),M_ratio (meta_da/da)
SC,1.462,1.842,1.955,0.972,0.776,0.528,0.397
CC,1.374,1.991,2.065,1.205,1.002,0.605,0.485
CI,1.586,1.875,1.941,1.182,0.892,0.631,0.459
